Organization Name,Description,Organization Name URL,Mega theme,Focus Area,Headquarters Location,Estimated Revenue Range,Founded Year,Industries,Number of Employees,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Top 5 Investors,IPqwery - Patents Granted,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Maturity
skew,skew is a platform that builds cutting-edge financial infrastructure for the digital assets space.,https://www.crunchbase.com/organization/skew,#REF!,,"London, England, United Kingdom",$1M to $10M,2018,"Bitcoin, Blockchain, Financial Services, FinTech, Software",,M&A,29/04/2020,5000000,Series A,6955000,"Digital Currency Group, Kleiner Perkins, Octopus Ventures, Seedcamp, Kima Ventures",,0.5,0.33,0,0.315,Nascent
Evati,Evati is a personal-finance app provider.,https://www.crunchbase.com/organization/evati,#REF!,,"Evanston, Illinois, United States",,2017,"Financial Services, FinTech",,Seed,29/01/2019,550000,Seed,1285000,,0,0.5,0,0,0.15,Nascent
Nivaura,Making issuance and administration of financial instruments cheaper and faster while ensuring compliance,https://www.crunchbase.com/organization/nivaura,#REF!,,"London, England, United Kingdom",$1M to $10M,2016,"Compliance, Financial Services, FinTech, Legal",,Seed,27/02/2019,20000000,Seed,20000000,"Digital Currency Group, HSBC, Mouro Capital, London Stock Exchange Group, Middlegame Ventures",,0.5,0,0,0.15,Nascent
TradAir,TradAir offers an end-to-end front office trading technology solutions for banks and brokers that optimize trading and client engagement.,https://www.crunchbase.com/organization/tradair,#REF!,,"Tel Aviv, Tel Aviv, Israel",$1M to $10M,2010,"Cryptocurrency, Finance, Financial Services, FinTech, Trading Platform",51-100,Late Stage Venture,22/07/2019,11000000,Series D,29900000,"Viola Ventures, Genesis Partners, Long Ridge Equity Partners, Harvey Golub, GF Investments",1,1,1,1,1,Mature
Cashforce,"Cashforce is a ‘next-generation’ Cash forecasting & Working Capital management platform, focused on automation and integration.",https://www.crunchbase.com/organization/cashforce,#REF!,,"Antwerp, Antwerpen, Belgium",$1M to $10M,2013,"Finance, Financial Services, FinTech, Machine Learning, Software",51-100,Early Stage Venture,15/10/2019,5516748,Series A,9056697,"Techstars, Citi Ventures, INKEF Capital, Volta Ventures, Techstars New York City Accelerator",0,0.5,0.33,1,0.515,Emerging
Finanzguru,Finanzguru is an AI based financial assistant.,https://www.crunchbase.com/organization/finanzguru-by-dwins-gmbh,#REF!,,"Frankfurt, Hessen, Germany",,2015,"Artificial Intelligence, Assistive Technology, Financial Services, FinTech, Machine Learning",,Early Stage Venture,07/08/2019,4481672,Series A,6836974,"Deutsche Bank, coparion, seed + speed Ventures, HDI Global SE",,0.5,0.33,0,0.315,Nascent
Abrigo,"Software and Services for BSA/AML, Fraud Detection, Loan Origination, Credit Risk, CECL, Asset/Liability Management, Deposit Pricing",https://www.crunchbase.com/organization/banker-s-toolbox,#REF!,,"Austin, Texas, United States",$10M to $50M,2000,"Asset Management, Banking, FinTech, Fraud Detection, Lending, Risk Management, Software",501-1000,Private Equity,23/07/2015,,Private Equity,,Accel-KKR,0,1,0.66,1,0.83,Mature
udu,"Deal Sourcing at Machine Speed and Coverage, with a Human Touch",https://www.crunchbase.com/organization/udu,#REF!,,"Raleigh, North Carolina, United States",Less than $1M,2013,"Information Services, Information Technology, Software",,Seed,01/12/2017,300000,Seed,300000,,1,0.5,0,0,0.15,Nascent
Qbitia,Qbitia is a software company that develops solutions for capital markets designed to simplify and optimize daily trading work.,https://www.crunchbase.com/organization/qubitia-solutions,#REF!,,"Pontevedra, Galicia, Spain",$1M to $10M,2011,"FinTech, Software",,,07/01/2016,,Venture - Series Unknown,1196489,"Adara Ventures, Caixa Capital Risc, Bankinter, Business angels, Xesgalicia",0,1,0.66,0,0.63,Mature
Kx,"Kx sells a high-performance time-series database platform for large scale, fast computing.",https://www.crunchbase.com/organization/kx-systems,#REF!,,"Newry, Newry and Mourne, United Kingdom",,1993,"Analytics, Database, Information Technology",1001-5000,M&A,,,,,,,1,0.33,1,0.665,Mature
Genesis,Genesis is the luxury vehicle division of the South Korean automobile manufacturer Hyundai Motor Group.,https://www.crunchbase.com/organization/genesis-6,#REF!,,"Seoul, Seoul-t'ukpyolsi, South Korea",,2007,"Automotive, Manufacturing",,,,,,,,3,1,0.33,0,0.465,Emerging
BlockSettle,BlockSettle was established to develop matching and settlement models focused on block-chain ledger technologies.,https://www.crunchbase.com/organization/blocksettle,#REF!,,"Malmö, Skane Lan, Sweden",,2016,"Financial Services, Information Services, Information Technology",,,25/09/2018,1529231,Venture - Series Unknown,1529232,,3,0.5,0.66,0,0.48,Emerging
Panda Money,Panda Money provides a gaming application that helps user to save money and later open a account with that money in a bank.,https://www.crunchbase.com/organization/panda-money,#REF!,,"New York, New York, United States",,2015,Financial Services,,Seed,01/08/2018,130000,Seed,230000,"Starta VC, Starta Accelerator",,0.5,0,0,0.15,Nascent
Celerix Technologies,Celerix Technologies is a financial technology Product and Services company focused on FPGA-based hardware accelerated technologies.,https://www.crunchbase.com/organization/celerix-infotech,#REF!,,"Bangalore, Karnataka, India",$1M to $10M,2013,"FinTech, Hardware, Service Industry",,,01/01/2019,,Venture - Series Unknown,400000,"Touchstone Equities, Bitkemy Ventures",,0.5,0.66,0,0.48,Emerging
PensionBee,"PensionBee: the clever way to find and combine all your old pension plans in one good-value, online plan Capital at risk.",https://www.crunchbase.com/organization/pensionbee,#REF!,,"London, England, United Kingdom",$1M to $10M,2014,"Financial Services, FinTech, Personal Finance",,IPO,12/12/2017,,Venture - Series Unknown,,"State Street Global Advisors, Will Brooks, Will Martin, Wild Blue Cohort, James Woolf",,0.5,0.66,0,0.48,Emerging
Apex Fund Services,"Apex provides portfolio valuations, corporate secretarial administration, directorships and listing sponsorships.",https://www.crunchbase.com/organization/apex-fund-services,#REF!,,"Abu Dhabi, Abu Dhabi, United Arab Emirates",$1M to $10M,2003,"Finance, Financial Services, Information Services",501-1000,M&A,07/06/2011,30000000,Venture - Series Unknown,30000000,FTV Capital,,1,0.66,1,0.83,Mature
CoVi Analytics,"Productivity solutions for regulated firms, reducing compliance effort & freeing staff to focus on business.",https://www.crunchbase.com/organization/covi-analytics,#REF!,,"London, England, United Kingdom",,2016,"Analytics, Asset Management, Banking, Compliance, Insurance, Risk Management, Software",,M&A,01/01/2016,,Non-equity Assistance,16343,"MassChallenge, Startupbootcamp, Startupbootcamp InsurTech London",,0.5,0.66,0,0.48,Emerging
Pennysmart,Pennysmart is a FinTech company.,https://www.crunchbase.com/organization/pennysmart,#REF!,,"Accra, Greater Accra, Ghana",,2018,"Financial Services, FinTech",,Seed,06/08/2019,25000,Pre-Seed,25000,The Baobab Network,,0.5,0.66,0,0.48,Emerging
Invrep - now trading as Reportally.com,Cap table and Investor reporting platform for startups,https://www.crunchbase.com/organization/invrep,#REF!,,"London, England, United Kingdom",$10M to $50M,2013,"Cloud Computing, FinTech, Software",,Seed,11/06/2015,225000,Angel,450000,"SyndicateRoom, Olga Orr, Robert Mason, Roger Mercer",,0.5,0.66,0,0.48,Emerging
Liquidnet,Liquidnet is a global institutional investment network that intelligently connects the world’s investors to the world’s investments,https://www.crunchbase.com/organization/liquidnet,#REF!,,"New York, New York, United States",$50M to $100M,1999,"Financial Services, FinTech, Intellectual Property, Trading Platform",251-500,M&A,18/02/2005,250000000,Private Equity,260000000,"TCV, Summit Partners",8,1,0.66,1,0.83,Mature
Canoe,Saas Platform Automating Document Management and Data Extraction for Alternative and Private Investments,https://www.crunchbase.com/organization/canoe-software,#REF!,,"New York, New York, United States",$1M to $10M,2013,"Analytics, Artificial Intelligence, FinTech, Information Technology, Machine Learning, Robotics, SaaS, Software",,Early Stage Venture,06/02/2020,,Series A,,"Hamilton Lane, Nasdaq Ventures, Portage Partners, Promus Capital",0,0.5,0.33,0,0.315,Nascent
Asset Match,The online marketplace for private company shares.,https://www.crunchbase.com/organization/asset-match,#REF!,,"London, England, United Kingdom",Less than $1M,2011,"Finance, Financial Services, Marketplace, Peer to Peer",,,01/10/2013,468885,Equity Crowdfunding,468886,Crowdcube,,1,0.66,0,0.63,Mature
Bond180,Bond180 is providing technology and data solutions for primary fixed income markets.,https://www.crunchbase.com/organization/bond180,#REF!,,"London, England, United Kingdom",,2019,"Financial Services, FinTech",,Seed,20/07/2020,,Seed,24182,"Outlier Ventures, Outlier Ventures Base Camp, F10 FinTech Incubator & Accelerator, University of Cambridge Enterprise, Cambridge Enterprise",,0.5,0,0,0.15,Nascent
Azlo,"Azlo provides online banking services for small businesses, entrepreneurs, and freelancers.",https://www.crunchbase.com/organization/azlo,#REF!,,"San Francisco, California, United States",$10M to $50M,2017,"Financial Services, FinTech",101-250,,,,,,,0,0.5,0.33,1,0.515,Emerging
Donate Your Change,DYC is dedicated to re-energizing fundraising efforts for non-profit organizations through our secure web-based roundup giving app.,https://www.crunchbase.com/organization/donate-your-change,#REF!,,"Wichita, Kansas, United States",Less than $1M,2016,"Association, Financial Services, Non Profit, Software",,Seed,21/02/2018,85000,Seed,85000,Boomtown Accelerators,,0.5,0,0,0.15,Nascent
FundApps,We help investment managers harness the power of community and technology to automate regulatory compliance.,https://www.crunchbase.com/organization/fundapps,#REF!,,"London, England, United Kingdom",$1M to $10M,2010,"Compliance, Financial Services, FinTech, SaaS",51-100,Private Equity,11/05/2021,,Private Equity,,"Hermes GPE, Scottish Equity Partners",0,1,0.66,1,0.83,Mature
CUBE,CUBE is a global RegTech provider empowering regulated financial institutions to meet compliance challenges head on.,https://www.crunchbase.com/organization/cube-global,#REF!,,"London, England, United Kingdom",$1M to $10M,2011,"Artificial Intelligence, Compliance, Financial Services, FinTech, Information Technology, Machine Learning, Risk Management",101-250,,,,,,,0,1,0.33,1,0.665,Mature
RobustWealth,RobustWealth is a digital wealth management platform built for their needs.,https://www.crunchbase.com/organization/robustwealth,#REF!,,"Lambertville, New Jersey, United States",,2015,"Communities, Financial Services, FinTech, Wealth Management",51-100,M&A,01/01/2017,,Venture - Series Unknown,,"PEAK6 Investments LLC, Walden Venture Capital",0,0.5,0.66,1,0.68,Mature
Investment Metrics,Investment Metrics is the leading provider of portfolio analytics and reporting solutions for the global institutional investment community.,https://www.crunchbase.com/organization/investment-metrics,#REF!,,"Norwalk, Connecticut, United States",$1M to $10M,2010,"Analytics, Financial Services, Information Services, Information Technology",51-100,Private Equity,20/06/2017,,Private Equity,,"HarbourVest Partners, Resurgens Technology Partners",0,1,0.66,1,0.83,Mature
BigPay,"BigPay's mission is to bring transparent, secure and convenient banking services to Southeast Asia.",https://www.crunchbase.com/organization/bigpay,#REF!,,"Singapore, Central Region, Singapore",,2017,"Banking, Financial Services, FinTech",101-250,,,,,,,,0.5,0.33,1,0.515,Emerging
Mellow,"Mellow is a personal finance & digital payment solution for kids and parents, building kids' money habits of saving, spending, and earning.",https://www.crunchbase.com/organization/mellow-2353,#REF!,,"Cyberport, Hong Kong Island, Hong Kong",,2018,"Apps, Financial Services, Information Technology",,Seed,15/09/2020,,Pre-Seed,,MetLife Digital Accelerator powered by Techstars,,0.5,0.66,0,0.48,Emerging
Brighterion,Real-time fraud and cyber threat protection leveraging the world’s deepest and broadest portfolio of Artificial Intelligence technologies,https://www.crunchbase.com/organization/brighterion,#REF!,,"San Francisco, California, United States",$1M to $10M,2000,"Artificial Intelligence, Machine Learning, Real Time",51-100,M&A,,,,,,19,1,0.33,1,0.665,Mature
GoldenSource,GoldenSource focuses on enterprise data management and provides financial services industry with software and expertise.,https://www.crunchbase.com/organization/goldensource,#REF!,,"New York, New York, United States",$10M to $50M,1984,Software,251-500,,,,,,,1,1,0.33,1,0.665,Mature
Digs,Digs offers financial tools that empower consumers to build wealth through their home.,https://www.crunchbase.com/organization/digsinc,#REF!,,"Chicago, Illinois, United States",$1M to $10M,2018,"Financial Services, FinTech, Real Estate",,M&A,30/06/2019,,Convertible Note,,"Forum Ventures, Right Side Capital Management, Redhawk Ventures, Cheung Tam",,0.5,0.66,0,0.48,Emerging
"Quantifi, Inc.","Quantifi is a financial services company offering risk management, analytics, and trading services.",https://www.crunchbase.com/organization/quantifi-inc,#REF!,,"New York, New York, United States",$1M to $10M,2002,"Analytics, Financial Services",101-250,,,,,,,,1,0.33,1,0.665,Mature
Sudrania Fund Services,Sudrania Fund Services fund administrator marrying the power of cloud computing with boutique service model scaled for volume.,https://www.crunchbase.com/organization/sudrania-fund-services,#REF!,,"Downers Grove, Illinois, United States",,2016,Financial Services,101-250,Seed,16/03/2020,,Seed,,Bodhi Tree Asset Management,,0.5,0,1,0.35,Nascent
The Money Club,"Money Clubs wants to make saving, investing and borrowing money more efficient.",https://www.crunchbase.com/organization/the-money-club,#REF!,,"Noida, Uttar Pradesh, India",Less than $1M,2016,"Financial Services, FinTech",,Seed,27/08/2020,,Seed,,"Venture Catalysts, LetsVenture, Loyal VC, Keiretsu Forum, Dhruv Agarwala",,0.5,0,0,0.15,Nascent
Allocator,Data platform for investors in funds,https://www.crunchbase.com/organization/allocator,#REF!,,"London, England, United Kingdom",$1M to $10M,2013,"Analytics, Asset Management, Financial Services, FinTech, Hedge Funds, Information Technology, Software",,,,,,,,0,0.5,0.33,0,0.315,Nascent
Robocash Group,Robocash Group is an international financial group providing consumer alternative lending and marketplace funding in Europe and Asia.,https://www.crunchbase.com/organization/robocash-group,#REF!,,"Singapore, Central Region, Singapore",,2013,"Consumer Lending, Financial Services, FinTech, Peer to Peer",1001-5000,,,,,,,,0.5,0.33,1,0.515,Emerging
Akoni Hub,Akoni provides simple cash management tools for individuals and SMEs.,https://www.crunchbase.com/organization/akoni-hub,#REF!,,"London, England, United Kingdom",,2015,"Artificial Intelligence, Finance, Financial Services, FinTech, Software",,,29/06/2020,,Venture - Series Unknown,,"Hambro Perks Ltd., Angel Academe, HearstLab, Tech Nation Fintech",,0.5,0.66,0,0.48,Emerging
